timestamp,country,operating_system,Facebook Messenger,iMessage,WhatsApp,Telegram,Slack,Skype,Snapchat,QQ Mobile,Line,WeChat,Viber,GroupMe,SMS,IRC,Google Talk
2016/08/31 9:02:56 AM AST,Bulgaria,iOS,I have it but rarely use it,I use it at least once a week,I have it but rarely use it,I use it at least once a week,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it
2016/08/31 10:15:10 AM AST,Canada,iOS,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I don't have it,I use it at least once a week,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I have it but rarely use it,I use it at least once a week
2016/08/31 5:57:23 AM AST,Italy,Android,I use it at least once a week,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I have it but rarely use it
2016/08/31 6:41:54 AM AST,Italy,Android,I use it at least once a week,I don't have it,I use it at least once a week,I use it at least once a week,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I have it but rarely use it
2016/08/31 7:39:05 AM AST,Italy,Android,I have it but rarely use it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I don't have it
2016/08/31 1:12:38 AM AST,Puerto Rico,Android,I use it at least once a week,I have it but rarely use it,I use it at least once a week,I don't have it,I have it but rarely use it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I have it but rarely use it
2016/08/30 8:33:18 PM AST,South Korea,iOS,I use it at least once a week,I have it but rarely use it,I use it at least once a week,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it
2016/08/30 7:26:20 PM AST,Spain,Android,I use it at least once a week,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I have it but rarely use it
2016/08/31 3:51:19 AM AST,Spain,Android,I have it but rarely use it,I have it but rarely use it,I have it but rarely use it,I use it at least once a week,I don't have it,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I use it at least once a week
2016/08/31 4:32:27 AM AST,Spain,Android,I have it but rarely use it,I don't have it,I use it at least once a week,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I don't have it
